_n,w,Average fitness,Average fitness deviation,Fitness median,Maximum fitness,Minimum fitness,Standard fitness deviation,Fitness range,Selection,Crossover,Mutation
240,1,19.48,6.04,20.8,37.95,9.95,7.17,28,Elitism,Twopoint,Uniform
241,2,34.65,24.14,23.02,263.65,8.25,53.35,255.4,Elitism,Twopoint,Uniform
242,3,24.98,6.08,26.55,36.35,7,7.65,29.35,Elitism,Twopoint,Uniform
243,4,28.3,4.13,31.11,37.85,10.65,6.27,27.2,Elitism,Twopoint,Uniform
244,5,31.02,2.69,31.15,42.45,22.85,4.43,19.6,Elitism,Twopoint,Uniform
245,6,28.19,3.95,31.15,35.05,19.5,4.44,15.55,Elitism,Twopoint,Uniform
246,7,30.32,1.86,31.15,35.05,20.85,3.22,14.2,Elitism,Twopoint,Uniform
247,8,31.14,0.03,31.15,31.15,30.87,0.06,0.28,Elitism,Twopoint,Uniform
248,9,30.64,0.98,31.15,31.15,20.85,2.24,10.3,Elitism,Twopoint,Uniform
249,10,30.64,0.98,31.15,31.15,20.85,2.24,10.3,Elitism,Twopoint,Uniform
250,11,29.61,2.63,31.15,31.15,20.85,3.68,10.3,Elitism,Twopoint,Uniform
251,12,28.58,3.86,31.15,31.15,20.85,4.46,10.3,Elitism,Twopoint,Uniform
252,13,30.12,1.85,31.15,31.15,20.85,3.09,10.3,Elitism,Twopoint,Uniform
253,14,30.64,0.98,31.15,31.15,20.85,2.24,10.3,Elitism,Twopoint,Uniform
254,15,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
255,16,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
256,17,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
257,18,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
258,19,30.66,0.95,31.15,31.3,21.15,2.18,10.15,Elitism,Twopoint,Uniform
259,20,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
260,1,19.73,4.58,21.15,30.35,8.5,5.36,21.85,Elitism,Twopoint,Flipbit
261,2,16.24,5.4,13.95,30.65,6.09,6.2,24.56,Elitism,Twopoint,Flipbit
262,3,19.09,6.74,17.13,33.83,6.82,7.83,27.01,Elitism,Twopoint,Flipbit
263,4,21.41,6.01,21.9,32.4,11.07,7.14,21.33,Elitism,Twopoint,Flipbit
264,5,20.83,6.1,21.31,42.45,11.35,7.88,31.1,Elitism,Twopoint,Flipbit
265,6,17.2,5.76,13.98,35.04,8.26,6.92,26.78,Elitism,Twopoint,Flipbit
266,7,20.56,6.51,16.56,45.54,11.11,8.35,34.43,Elitism,Twopoint,Flipbit
267,8,19.01,4.98,17.9,37.05,4.8,6.66,32.25,Elitism,Twopoint,Flipbit
268,9,19.92,6.31,18,41.04,9.6,8.21,31.44,Elitism,Twopoint,Flipbit
269,10,18.55,3.96,20.2,24.52,11.35,4.39,13.17,Elitism,Twopoint,Flipbit
270,11,18.9,6.04,15.73,35.76,11.6,7.04,24.16,Elitism,Twopoint,Flipbit
271,12,17.88,5.06,15.47,31.35,11.85,6,19.5,Elitism,Twopoint,Flipbit
272,13,17.39,4.22,15.4,33.86,11.65,5.38,22.21,Elitism,Twopoint,Flipbit
273,14,16.85,3.72,15.87,31.5,11.5,4.95,20,Elitism,Twopoint,Flipbit
274,15,18.61,4.52,18.55,37.3,11.47,5.93,25.83,Elitism,Twopoint,Flipbit
275,16,23.09,5.91,21.78,57.5,12.39,9.43,45.11,Elitism,Twopoint,Flipbit
276,17,23.06,6.88,20.85,57.73,12,9.89,45.73,Elitism,Twopoint,Flipbit
277,18,20.48,6.16,18.71,47.78,11.47,8.57,36.31,Elitism,Twopoint,Flipbit
278,19,21.9,6.67,21.8,39.45,11.11,8.53,28.34,Elitism,Twopoint,Flipbit
279,20,17.75,6.41,14.4,33.52,1.15,7.55,32.37,Elitism,Twopoint,Flipbit
280,1,19.5,7.49,18.2,33.95,9.25,7.98,24.7,Elitism,Twopoint,Gaussian
281,2,24.44,8.64,23.4,55.85,11.05,11.18,44.8,Elitism,Twopoint,Gaussian
282,3,24.8,9.22,23.7,60.35,10.85,11.92,49.5,Elitism,Twopoint,Gaussian
283,4,28.64,9.92,30.13,94.35,11.45,16.97,82.9,Elitism,Twopoint,Gaussian
284,5,21.67,6.68,21.15,31.6,1.25,8.67,30.35,Elitism,Twopoint,Gaussian
285,6,27.28,5.59,31.15,37.35,6.9,6.72,30.45,Elitism,Twopoint,Gaussian
286,7,28.62,3.71,31.15,31.15,21.15,4.28,10,Elitism,Twopoint,Gaussian
287,8,27.62,4.59,31.15,31.15,20.57,4.81,10.58,Elitism,Twopoint,Gaussian
288,9,26.53,5.02,30.87,31.15,20.57,5.05,10.58,Elitism,Twopoint,Gaussian
